uniqueID;drugName;condition;review;rating;date;usefulCount
95610;Efinaconazole;Onychomycosis, Toenail;"""Used twice daily for six months, NOTHING!""";1;30-Nov-16;4
588;Medroxyprogesterone;Birth Control;"""I&#039;m 19 years old and I have only been on the shot for 3 months and some change now. I like the shot. I had regular periods before but they were really heavy and painful. I tried the pills once and took all of them. A couple of times I forgot to take them on time but took two the next day but the shot works better for me. The only negative thing I have to say is it does mess with my moods, like I&#039;ll get sad out of no where and start tripping and the weight gain I don&#039;t mind because I&#039;m already a size 3, I want to gain some weight. During the first month I spotted the whole time. Not a regular period just brown spotting. But it&#039;s gone away now and like I said I&#039;ve only been on it for 3 months and some change now so overall for me, I like.""";7;5-Aug-12;2
182733;Cymbalta;ibromyalgia;"""For almost 2 years I had felt like I was exhausted and in pain all of the time. Was told that it was osteoarthritis and because of my getting adult acquired flat feet. Finally went to an arthritis doctor who said it was fibromyalgia and started on Cymbalta two weeks ago. Within 5 days, I felt relief. It have given me hope to be able to do things without constant pain. I still get tired easily, but I can finally sleep at night and not nearly as stiff in the morning. I was scared to death when reading about the side effects. Other than a headache for a few days... that was all for me. Sooo glad it has changed my life.""";9;5-May-17;41
52437;Pantoprazole;Gastritis/Duodenitis;"""I was prescribed this following three or four days with crippling stomach pain caused by gastritis&#039; within a few hours I had immediate relief and within 36 hours felt virtually back to normal, so much so that I ceased taking the medication on day 4 or 5 (supported by my GP).

I was taking the 40mg Gastro-resistant tablets twice daily.""";9;5-Mar-17;10
183710;Cymbalta;ibromyalgia;"""It makes me feel miserable, but congratulations to those whom Cymbalta is helping.""";1;23-Apr-09;23
146917;Alprazolam;Depression;"""I know what it&#039;s like to lose 30 pounds in one month from depression. No appetite, can&#039;t walk without getting tired, laying in bed all day crying &amp; nightmares night after night. It&#039;s so annoying when psychs&#039; won&#039;t prescribe this because of fear of addiction. Well guess what? If I hadn&#039;t have found xanax, I would have committed suicide a long time ago. You can take this medicine long term if you have severe depression and are responsible.""";10;11-Oct-16;82
28358;Lexapro;Depression;"""Sexually frustrated me and I was a little bit aggressive coming onto it. EVERYONE has a specific anti-depressant that will work for them. It&#039;s all trial and error. However, even though it didn&#039;t work for me, I&#039;m a fan of the medication. Prozac, however, did the job.""";6;9-Feb-14;36
16407;Ethinyl estradiol / norethindrone;Birth Control;"""I came on here to write a good review because I feel like people are so quick to put their opinions out if a medication is bad way before if it is good for them! With that being said, if you are on here because you just started taking this medicine or just prescribed it and haven&#039;t started it, its sooo important to remember YOUR body isn&#039;t like another woman&#039;s, birth control effects everyone different so don&#039;t let some of these scary/bad reviews scare you( you&#039;ll find them under every type of BC review). What may be great for you, might be horrible for someone else. This is great for me!""";10;29-Jan-16;23
56868;Benztropine;Parkinson's Disease;"""Reduced my tremors but affected my ability to think, concentrate and speak.""";1;10-Feb-17;0
34307;Bystolic;High Blood Pressure;"""This drug was a nightmare for me.  I unfortunately had B12 deficiency at the same time so it took a longish time to figure this drug was murdering me in addition to my troubles with B12.  It did keep my BP very low but.... it made my legs feel almost lame and if I tried to walk even remotely fast I&#039;d feel like I was going to pass out.  It also cranked by A1C way up.  The worst 6 months of my life pretty much.  A week after coming off it I felt reborn.""";1;16-Aug-17;8
